Family	FamilyEn	FamilyNameJa	FamilyNameEn	ReleaseYear
アイボリーイヌ	Ivory Dog		Patches	1987
アイボリーウサギ	Ivory Rabbit		Butterglove	1986
アイボリーネコ	Ivory Cat			1987
アヒル1	Duck		Puddleford	1988
アヒル2	Duck		Waddlington	1997
アヒル3	Duck	パドルトン	Puddleton	2021
アライグマ1	Raccoon		Chestnut	1986
アライグマ2	Raccoon		Mulberry	1995
アルパカ	Woolly Alpaca	ウーリー	Woolly	2018
ウシ	Friesian Cow	バターカップ	Buttercup	2010
オークルイヌ	Ocher Dog		Tailbury	1988
カワウソ	Splashy Otter	スプラッシー	Splashy	2018
カンガルー	Kangaroo	ホッパー	Hopper	2014
キャラメルイヌ	Caramel Dog	キャラメル	Caramel	2019
キツネ	Honey Fox		Slydale	1985
キリン	Highbranch Giraffe	ハイブランチ	Highbranch	2021
クマ	Little Bear	ペティート	Petite	1998
クリームネコ1				1988
クリームネコ2	Cream Cat		Keats	2006
くるみリス	Walnut Squirrel	ウォールナット	Walnut	2004
グレイッシュネコ	Grey Cat		Harvey	2012
グレーウサギ	Grey Rabbit		Babblebrook	1985
グレークマ	Grey Bear		Evergreen	1985
コアラ	Koala	アウトバック	Outback	2012
サル	Monkey	ダーウィン	Darwin	2011
しおかぜウサギ2	Sea Breeze Rabbit		Seabreeze	2020
シカ	Red Deer	バックリー	Buckley	2009
シナモンウサギ	Cinnamon Rabbit	シナモン	Cinnamon	2018
シバイヌ	Shiba Dog	ブラシウッド	Brushwood	2021
シフォンイヌ	Chiffon Dog		Doughty	2007
シマネコ	Striped Cat	サンディー	Sandy	2014
シマリス	Furbanks Squirrel		Furbanks	1993
ショコラウサギ	Chocolate Rabbit	チョコレート	Chocolate	2007
シルクネコ	Silk Cat	ゴライトリー	Golightly	2009
シルバーポニー		シルバー	Silver	2022
しろウサギ	Snow Rabbit	スノー	Snow	2020
シロクマ1	Polar Bear	ポラリス	Polaris	2014
シロクマ2	Polar Bear	ポーラー	Polar	2019
スカンク	Bouquet Skunk		Bouquet	1987
ゾウ	Elephant	バブルブルック	Bubblebrook	2019
ダルメシアン1	Dalmatian		Kennelworth	2002
ダルメシアン2	Dalmatian			2013
チャコールネコ	Tuxedo Cat	マーロウ	Marlowe	2008
チワワ	Chihuahua Dog	ロペス	Lopez	2011
ティアドロップクマ	Teardrop Bear			1991
トイプードル	Toy Poodle	ケーキブレッド	Cakebread	2016
トナカイ2	Reindeer	スノードリフト	Snowdrift	2022
どんぐりネズミ	Field Mouse		Fielding	2009
ネズミ1				1985
ネズミ2	Norwood Mouse		Norwood	1996
ののはなウサギ	Nonohana Rabbit			2006
ハスキー	Husky	ハスキー	Husky	2021
ハムスター1	Hamster		Hamilton	2006
ハムスター2	Hamster		Goldbacke	2013
ハリネズミ	Hedgehog	ブランブル	Bramble	1991
パンダ2	Pookie Panda	プーキー	Pookie	2020
ビーバー1	Beaver		Waters	1986
ビーバー2	Beaver		Woodbrook	2013
ヒツジ	Sheep	デール	Dale	2005
フェネック	Fennec Fox	フェネック	Fennec	2022
ブタ	Pig		Grunt	2007
ブラウンイヌ	Brown Dog			1987
ブラウンウサギ	Brown Rabbit		Wildwood	1985
ブラウンクマ	Brown Bear		Timbertop	1985
フローラウサギ	Flora Rabbit	フローラ	Flora	2023
ペルシャネコ1	Persian Cat		Persis	2008
ペルシャネコ2	Persian Cat		Teak	2015
ペルシャネコ3	Persian Cat	ペルシアン	Persian	2019
ペンギン	Penguin	ワドル	Waddle	2022
ほしぞらネコ	Midnight Cat	ミッドナイト	Midnight	2020
ポニー	Pony	メインリー	Manely	2021
マーガレットウサギ	Marguerite Rabbit	マーガレット	Marguerite	2020
マシュマロネズミ	Marshmallow Mouse	マシュマロ	Marshmallow	2018
マロンイヌ	Hound Dog		Huckleberry	2003
マロンポニー		チェストナッツ	Chestnut	2022
ミケネコ	Whiskers Cat		Whiskers	1996
みるくウサギ	Milk Rabbit	ペリーウィンクル	Periwinkle	2002
メイプルネコ	Maple Cat	メープル	Maple	2017
モグラ	Mole	マクバローズ	McBurrows	1985
ヤギ1	Goat			1988
ヤギ2	Goat		Nettlefield	1992
ヤギ3	Goat	ブライトフィールド	Brightfield	2013
ライオン	Lion	グランド	Grand	2018
ラッコ	Sea Otter		Neptune	2012
ラテネコ	Latte Cat	フォンターナ		2023
ラブラドール	Yellow Labrador	フェントン	Fenton	2014
ラベンダーウサギ	Lavender Rabbit			2009
リス	Oakwood Squirrel		Oakwood	1985
レッサーパンダ	Red Panda		Robinson	2010
わたウサギ	Cottontail Rabbit		Cottontail	1999
